co,d,h,idx,no2,o3,p,pm10,pm25,so2,t,timestamp,w
34,-9,48,449,83,3,1026,419,419,10,1,1483203600,1
43,-9,48,447,92,3,1026,348,436,6,1,1483203600,1
23,-8,60,3303,49,5,1026,114,476,14,-1,1483207200,1
60,-9,48,446,87,2,1026,443,473,11,1,1483203600,1
37,-9,48,448,91,2,1026,266,404,13,1,1483203600,1
39,-9,48,452,97,4,1026,250,403,13,1,1483203600,1
50,-9,48,451,94,5,1026,382,463,12,1,1483203600,1
34,-9,48,469,78,4,1026,178,343,17,1,1483203600,1
53,-9,48,450,101,5,1026,372,448,10,1,1483203600,1
38,-9,48,463,79,1,1026,178,344,15,1,1483203600,1
43,-9,48,457,90,2,1026,393,460,13,1,1483203600,1
27,-9,48,462,70,7,1026,121,231,20,1,1483203600,1
20,-9,48,466,48,8,1026,109,194,11,1,1483203600,1
34,-10,48,477,73,5,1028,130,323,23,0,1483110000,2
16,-10,48,474,28,10,1028,154,316,17,0,1483110000,2
41,-10,48,479,79,2,1028,187,362,17,0,1483110000,2
25,-10,48,478,55,4,1028,117,204,14,0,1483110000,2
33,-10,48,476,72,3,1028,142,277,13,0,1483110000,2
24,-10,48,480,52,3,1028,91,191,16,0,1483110000,2
42,-10,48,460,70,4,1028,205,360,11,0,1483110000,2
34,-10,48,461,69,4,1028,196,377,16,0,1483110000,2
12,-10,48,454,25,7,1028,80,178,6,0,1483110000,2
34,-10,48,456,71,3,1028,161,279,12,0,1483110000,2
26,-10,48,464,57,5,1028,133,217,12,0,1483110000,2
29,-10,48,458,60,5,1028,173,326,35,0,1483110000,2
46,-10,51,459,71,5,1029,324,433,20,-1,1483102800,1
37,-10,48,455,73,4,1028,193,357,10,0,1483110000,2
23,-10,48,453,56,6,1028,85,183,14,0,1483110000,2
8,5,55,482,44,14,1028,69,153,17,14,1483203600,3
6,5,55,484,53,15,1028,65,162,9,14,1483203600,3
7,5,55,488,32,10,1028,38,87,12,14,1483203600,3
14,5,55,481,50,5,1028,77,157,20,14,1483203600,3
14,5,55,486,66,7,1028,65,159,20,14,1483203600,3
6,5,55,489,34,11,1028,54,134,16,14,1483203600,3
9,5,55,3304,57,10,1028,70,164,16,14,1483203600,3
9,5,55,483,57,6,1028,70,159,16,14,1483203600,3
12,5,55,485,39,15,1028,62,151,14,14,1483203600,3
11,5,55,487,58,9,1028,73,152,14,14,1483203600,3
8,5,55,490,45,9,1028,56,142,19,14,1483203600,3
8,10,49,931,16,73,1020,67,152,6,21,1483200000,3
8,10,49,916,29,113,1020,73,153,6,21,1483200000,3
9,10,49,924,13,68,1020,65,102,8,21,1483200000,3
9,9,49,3928,66,32,1021,83,159,10,20,1483203600,3
7,9,49,914,20,61,1021,61,132,8,20,1483203600,3
11,9,49,2572,68,15,1021,59,135,3,20,1483203600,3
8,9,49,2568,49,36,1021,101,173,9,20,1483203600,3
7,9,49,2570,58,15,1021,60,141,5,20,1483203600,3
8,9,49,2571,79,10,1021,55,110,3,20,1483203600,3
9,9,49,921,6,64,1021,52,119,5,20,1483203600,3
11,9,49,928,17,57,1021,65,137,6,20,1483203600,3
9,9,49,926,13,75,1021,59,122,7,20,1483203600,3
9,10,49,920,41,54,1020,85,151,6,21,1483200000,3
7,10,49,925,25,73,1020,63,122,5,21,1483200000,3
9,9,49,927,45,54,1021,85,157,5,20,1483203600,3
8,10,49,922,11,86,1020,62,144,6,21,1483200000,3
5,9,49,2569,66,30,1021,69,151,13,20,1483203600,3
8,9,49,2566,8,68,1021,57,105,7,20,1483203600,3
9,9,49,2567,100,16,1021,86,164,25,20,1483203600,3
57,-9,59,449,83,3,1029,319,432,12,-2,1483182000,2
42,-9,59,447,63,3,1029,168,320,5,-2,1483182000,2
24,-9,59,450,38,5,1029,84,183,11,-2,1483182000,2
23,-9,59,3303,49,5,1029,114,222,14,-2,1483182000,2
34,-9,59,448,55,2,1029,166,293,15,-2,1483182000,2
59,-9,59,452,78,4,1029,153,288,31,-2,1483182000,2
45,-9,59,446,49,2,1029,143,281,15,-2,1483182000,2
31,-9,59,469,49,4,1029,134,257,20,-2,1483182000,2
25,-9,59,451,38,5,1029,295,197,13,-2,1483182000,2
53,-9,59,463,60,1,1029,176,315,27,-2,1483182000,2
17,-9,59,466,28,8,1029,92,179,8,-2,1483182000,2
33,-9,59,457,51,2,1029,155,249,13,-2,1483182000,2
23,-9,59,462,28,7,1029,103,190,16,-2,1483182000,2
34,-10,48,477,73,5,1028,130,323,23,0,1483110000,2
16,-10,48,474,28,10,1028,154,316,17,0,1483110000,2
41,-10,48,479,79,2,1028,187,362,17,0,1483110000,2
25,-10,48,478,55,4,1028,117,204,14,0,1483110000,2
42,-10,48,460,70,4,1028,205,360,11,0,1483110000,2
24,-10,48,480,52,3,1028,91,191,16,0,1483110000,2
33,-10,48,476,72,3,1028,142,277,13,0,1483110000,2
37,-10,48,455,73,4,1028,193,357,10,0,1483110000,2
34,-10,48,456,71,3,1028,161,279,12,0,1483110000,2
26,-10,48,464,57,5,1028,133,217,12,0,1483110000,2
23,-10,48,453,56,6,1028,85,183,14,0,1483110000,2
29,-10,48,458,60,5,1028,173,326,35,0,1483110000,2
46,-10,51,459,71,5,1029,324,433,20,-1,1483102800,1
12,-10,48,454,25,7,1028,80,178,6,0,1483110000,2
34,-10,48,461,69,4,1028,196,377,16,0,1483110000,2
8,6,67,484,47,9,1030,75,173,10,12,1483182000,3
11,6,67,486,47,9,1030,64,152,12,12,1483182000,3
9,6,67,482,37,10,1030,67,134,15,12,1483182000,3
10,6,67,481,39,5,1030,67,151,13,12,1483182000,3
12,6,67,3304,42,5,1030,69,158,9,12,1483182000,3
8,6,67,488,33,10,1030,59,127,48,12,1483182000,3
7,6,67,489,33,10,1030,60,134,15,12,1483182000,3
10,6,67,485,35,8,1030,67,139,12,12,1483182000,3
11,6,67,483,40,9,1030,64,151,11,12,1483182000,3
11,6,67,487,39,11,1030,62,137,15,12,1483182000,3
10,6,67,490,41,10,1030,61,127,17,12,1483182000,3
11,6,40,931,28,5,1025,88,163,5,20,1483153200,4
10,6,40,916,38,16,1025,72,149,7,20,1483178400,4
10,6,40,924,29,29,1025,66,147,9,20,1483178400,4
8,10,52,3928,37,14,1025,65,142,5,20,1483182000,4
7,6,40,914,22,20,1025,53,134,6,20,1483178400,4
9,10,56,2572,50,8,1025,57,134,4,19,1483178400,3
8,10,52,2568,44,6,1025,70,155,11,20,1483182000,4
9,10,52,2570,60,5,1025,60,141,7,20,1483182000,4
10,10,52,2571,54,15,1025,56,122,5,20,1483182000,4
10,6,40,921,8,37,1025,51,117,6,20,1483178400,4
11,6,40,928,44,19,1025,57,122,5,20,1483178400,4
10,6,40,926,15,32,1025,57,127,8,20,1483178400,4
9,6,40,920,33,13,1025,66,124,7,20,1483178400,4
8,6,40,925,26,21,1025,58,117,5,20,1483178400,4
8,6,40,927,27,29,1025,59,114,6,20,1483178400,4
8,6,40,922,10,34,1025,50,112,5,20,1483178400,4
5,10,52,2569,29,18,1025,64,111,7,20,1483182000,4
9,10,52,2566,9,40,1025,54,109,8,20,1483182000,4
9,10,52,2567,33,27,1025,52,110,8,20,1483182000,4
46,-7,93,449,55,2,1027,249,420,2,-6,1483239600,1
51,-7,93,447,57,1,1027,330,402,2,-6,1483239600,1
53,-7,93,3303,44,3,1026,335,457,4,-6,1483243200,1
65,-7,93,446,41,1,1027,385,444,4,-6,1483239600,1
45,-7,93,448,51,1,1027,385,468,3,-6,1483239600,1
57,-7,93,452,61,2,1027,379,464,2,-6,1483239600,1
53,-7,93,451,44,3,1027,335,438,4,-6,1483239600,1
39,-7,93,469,47,1,1027,131,275,8,-6,1483239600,1
53,-7,93,450,50,1,1027,300,446,3,-6,1483239600,1
41,-7,93,463,31,1,1027,280,407,4,-6,1483239600,1
60,-7,93,457,55,2,1027,404,465,3,-6,1483239600,1
60,-7,93,462,47,2,1027,300,441,5,-6,1483239600,1
